,rp_date,cp_id,device,imps,clicks,cost,cv_t
400,2018/2/5,652057083,1,474,3,310,0
401,2018/2/6,652057083,1,715,4,250,0
402,2018/2/7,652057083,1,666,3,348,0
403,2018/2/8,652057083,1,373,3,207,0
404,2018/2/9,652057083,1,309,3,206,0
405,2018/2/10,652057083,1,689,2,153,0
406,2018/2/11,652057083,1,923,6,566,0
407,2018/2/12,652057083,1,853,0,0,0
408,2018/2/13,652057083,1,530,4,420,0
409,2018/2/14,652057083,1,330,2,162,0
410,2018/2/15,652057083,1,353,5,342,0
411,2018/2/16,652057083,1,269,2,177,0
412,2018/2/17,652057083,1,417,2,108,0
413,2018/2/18,652057083,1,555,3,529,0
414,2018/2/19,652057083,1,324,1,112,0
415,2018/2/20,652057083,1,404,1,92,0
416,2018/2/21,652057083,1,191,2,162,0
417,2018/2/22,652057083,1,242,2,112,0
418,2018/2/23,652057083,1,118,1,128,0
419,2018/2/24,652057083,1,185,1,85,1
420,2018/2/25,652057083,1,254,3,204,0
421,2018/2/26,652057083,1,205,1,101,0
422,2018/2/27,652057083,1,174,1,94,0
423,2018/2/28,652057083,1,178,3,259,1
424,2018/3/1,652057083,1,152,4,278,0
425,2018/3/2,652057083,1,159,1,175,0
426,2018/3/3,652057083,1,147,2,175,0
427,2018/3/4,652057083,1,265,2,196,0
428,2018/3/5,652057083,1,218,2,190,0
429,2018/3/6,652057083,1,227,1,84,0
430,2018/3/7,652057083,1,127,2,152,0
431,2018/3/8,652057083,1,224,2,229,0
432,2018/3/9,652057083,1,170,0,0,0
433,2018/3/10,652057083,1,162,1,48,0
434,2018/3/11,652057083,1,274,3,218,0
435,2018/3/12,652057083,1,279,0,0,0
436,2018/3/13,652057083,1,192,2,141,1
437,2018/3/14,652057083,1,123,3,245,0
438,2018/3/15,652057083,1,144,2,123,0
439,2018/3/16,652057083,1,134,1,150,1
440,2018/3/17,652057083,1,92,0,0,0
441,2018/3/18,652057083,1,215,2,197,0
442,2018/3/19,652057083,1,123,1,64,0
443,2018/3/20,652057083,1,117,0,0,0
444,2018/3/21,652057083,1,141,0,0,0
445,2018/3/22,652057083,1,95,0,0,0
446,2018/3/23,652057083,1,116,0,0,0
447,2018/3/24,652057083,1,80,2,196,0
448,2018/3/25,652057083,1,121,1,52,1
449,2018/3/26,652057083,1,86,0,0,0
450,2018/3/27,652057083,1,75,1,93,0
451,2018/3/28,652057083,1,124,1,78,0
452,2018/3/29,652057083,1,183,1,48,0
453,2018/3/30,652057083,1,166,2,147,0
454,2018/3/31,652057083,1,298,2,224,0
455,2018/4/1,652057083,1,461,4,532,0
456,2018/4/2,652057083,1,291,1,45,0
457,2018/4/3,652057083,1,190,0,0,0
458,2018/4/4,652057083,1,156,0,0,0
459,2018/4/5,652057083,1,218,2,244,0
460,2018/4/6,652057083,1,79,0,0,0
461,2018/4/7,652057083,1,222,2,193,0
462,2018/4/8,652057083,1,189,2,136,0
463,2018/4/9,652057083,1,182,0,0,0
464,2018/4/10,652057083,1,50,0,0,0
465,2018/4/11,652057083,1,58,3,171,0
466,2018/4/12,652057083,1,69,2,103,0
467,2018/4/13,652057083,1,63,0,0,0
468,2018/4/14,652057083,1,191,1,67,0
469,2018/4/15,652057083,1,163,0,0,0
470,2018/4/16,652057083,1,88,0,0,0
471,2018/4/17,652057083,1,88,1,78,0
472,2018/4/18,652057083,1,151,1,90,0
473,2018/4/19,652057083,1,39,0,0,0
474,2018/4/20,652057083,1,57,0,0,0
475,2018/4/21,652057083,1,84,0,0,0
476,2018/4/22,652057083,1,94,0,0,0
477,2018/4/23,652057083,1,79,2,89,0
478,2018/4/24,652057083,1,58,2,145,0
479,2018/4/25,652057083,1,79,0,0,0
480,2018/4/26,652057083,1,69,1,47,0
481,2018/4/27,652057083,1,77,0,0,0
482,2018/4/28,652057083,1,85,1,39,0
483,2018/4/29,652057083,1,132,1,72,0
484,2018/4/30,652057083,1,177,0,0,0
485,2018/5/1,652057083,1,216,0,0,0
486,2018/5/2,652057083,1,189,1,72,0
487,2018/5/3,652057083,1,188,1,77,0
488,2018/5/4,652057083,1,168,1,110,0
489,2018/5/5,652057083,1,174,0,0,0
490,2018/5/6,652057083,1,205,4,860,0
491,2018/5/7,652057083,1,177,2,135,0
492,2018/5/8,652057083,1,197,2,114,0
493,2018/5/9,652057083,1,124,1,58,0
494,2018/5/10,652057083,1,120,0,0,0
495,2018/5/11,652057083,1,106,3,216,0
496,2018/5/12,652057083,1,166,3,414,0
497,2018/5/13,652057083,1,252,2,277,0
498,2018/5/14,652057083,1,145,3,229,0
499,2018/5/15,652057083,1,156,1,28,0
500,2018/5/16,652057083,1,184,1,111,0
501,2018/5/17,652057083,1,220,0,0,0
502,2018/5/18,652057083,1,163,1,106,0
503,2018/5/19,652057083,1,251,1,90,0
504,2018/5/20,652057083,1,301,1,46,0
